# Sequence Name: name of transcript
# ORF Length: length of the longest ORF
# GC Content: GC content of the longest ORF
# Coding Potential Score: coding potential score for a transcript, which is protein-coding RNA if greater than 0 or ncRNA if smaller than 0. '0' indicates that mRNA probability equals lncRNA probability. Also, if the ORF length is shorter than 100nt, '0' is output.
# pc: ORF probability for coding sequence
# pnc: ORF probability for non-coding sequence
# fc: Stop-codon probability for coding sequence
# fnc: Stop-codon probability for non-coding sequence
# Coding Label: 'Coding' represents mRNA and 'Non-coding' represents ncRNA
# 
# Sequence Name	ORF Length	GC Content	Coding Potential Score	Coding Label	pc	pnc	fc	fnc	
MN844008.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ874955.1	138	0.37	-0.551	Non-coding	4.178e-05	7.249e-05	0.01	0.016	
EU814691.1	138	0.37	-0.523	Non-coding	4.289e-05	7.238e-05	0.01	0.016	
MN481105.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
AF193976.1	357	0.555	-0.131	Non-coding	4.247e-08	4.841e-08	0.006	0.014	
EU814652.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
MN481103.1	138	0.37	-0.222	Non-coding	6.226e-03	7.773e-03	0.01	0.016	
AB331256.1	156	0.481	-0.371	Non-coding	4.818e-03	6.985e-03	0.007	0.015	
KX270946.1	156	0.705	-0.525	Non-coding	2.871e-05	4.853e-05	0.007	0.011	
EU814682.1	102	0.382	-0.34	Non-coding	6.747e-03	9.481e-03	0.009	0.016	
EU814673.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ497035.1	156	0.699	-0.537	Non-coding	2.837e-05	4.854e-05	0.007	0.011	
DQ008931.1	138	0.37	-0.523	Non-coding	4.289e-05	7.238e-05	0.01	0.016	
FJ874957.1	138	0.37	-0.551	Non-coding	4.178e-05	7.249e-05	0.01	0.016	
FJ874997.1	138	0.333	-0.508	Non-coding	3.978e-05	6.613e-05	0.011	0.016	
MH069865.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
GS927771.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
FJ874953.1	138	0.37	-0.551	Non-coding	4.178e-05	7.249e-05	0.01	0.016	
FJ874991.1	138	0.333	-0.508	Non-coding	3.978e-05	6.613e-05	0.011	0.016	
KX270941.1	156	0.705	-0.525	Non-coding	2.871e-05	4.853e-05	0.007	0.011	
DQ008942.1	0	0.000e+00	0.000e+00	Non-coding	1.000e+00	1.000e+00	1.0	1.0	
HO002046.1	114	0.439	-0.438	Non-coding	5.696e-03	8.829e-03	0.008	0.016	
